gt,pred
0.24835707650561634,-7.723781217466219
0.433380412228478,-2.5634947025403862
1.3288693946784869,1.3550878932694026
2.2690526166462237,2.503955585469934
1.8929735638946132,-0.3573537935016051
2.395494335595761,5.5097439973332545
3.8046817846381176,-1.5334203622748541
3.9013053042749464,3.189407879168479
3.7853633095450863,4.38684146810458
4.793893087119615,7.36608725741336
4.7934167817344715,8.351491172178921
5.294773314169645,-0.3284371450197012
6.151131889551861,-1.51943896412625
5.576023194254015,11.96440730374656
6.172716963140468,7.834287023038426
7.256544677590568,3.5141119948078003
7.533785444857913,15.289545322470527
8.699837234136831,9.278210405601124
8.59121409289266,14.487700013211793
8.84158684279969,9.179179249850236
10.783075640742183,21.08681526515212
10.439875668852208,19.216579881068228
11.089040484253509,9.844219741858142
10.845414851616889,15.703269606388666
11.788110145275096,15.014989893200834
12.61827536520669,19.461433152868434
12.489829844454677,7.665212541554155
13.755688205152735,17.185945505144932
13.770032413834565,19.062154848082503
14.4270174467114,5.633320014595828
14.774523578307411,8.858231014978536
16.504028539490648,6.307867650690145
16.073653397681284,14.726619225458496
16.05405910838637,19.64177038736618
17.496699591729985,25.008484852210124
16.97751787350695,17.347991775605827
18.19488405880891,26.337961786665367
17.613129762180712,10.712622471106254
18.431384362485456,9.914472165709682
19.696420567683305,19.41868207320021
20.469735802560518,22.390063047257055
20.688699215971866,20.5252254755014
21.04770349699683,10.710492996797448
21.45748835321038,21.01188815564644
21.37129176863538,14.848944266111115
22.253143222435806,25.601505966586
22.88525850396734,24.718249734451582
24.146651565370764,19.44725263373399
24.292412159859605,21.723077573176138
23.741595500208078,18.44552789076332
25.28767012540091,24.974274639035052
25.43559956330943,30.211311165815623
25.792192266178677,20.86356203450096
26.93900397356616,29.45923655115538
27.651178153207773,24.999890061345567
28.103831014331966,24.139466853020245
27.72109475597662,27.18594295620383
28.488609892476397,23.312398280379526
29.31136035891786,26.543113832181948
30.13601376959133,24.146624306647087
29.911166649921572,39.73479231450352
30.56043684332638,30.736754603185023
30.602611407469347,27.103983867506418
31.060188145246094,32.1300876989172
32.567066931297596,32.00542668284345
33.34143659719998,32.23658859953387
33.12982408493847,36.2006575851556
34.17010815748873,37.95764670772525
34.351672283880596,31.699166545827957
34.35080695686829,31.47171575364489
35.356577199739135,33.98131871398091
36.44741024303198,24.93780441935406
36.16299150305809,28.587036192065327
37.465738913334135,44.300110250556756
35.87605709619633,44.100895663702744
38.09939346324288,36.85421326546099
38.23447830798843,41.117263123267264
38.543963661450476,40.10021443416816
39.24186028776524,54.63626433004143
38.704708005011106,44.30258256218399
40.09116908120687,39.45158112380304
40.88207387369557,36.10437167069344
41.94497717312452,33.91274557183666
41.449407604431016,42.46672578376713
41.80680847493531,38.025054748513796
42.46268931740371,35.351420769415334
43.673781460861086,40.440917039648454
43.88296851965396,38.47522850158198
43.95622542575467,52.391933601117486
44.98025180700893,49.38845059175618
45.274669427940346,45.23480622135726
46.21296571134685,53.61268640579698
45.88012923195579,46.266970770193886
46.56983726840965,42.263416261768334
47.040126827956534,54.655747214304824
47.00693599327062,49.70148621169392
48.38926616868304,43.203035397050755
48.87424622905476,47.92255283863672
49.24878788410012,44.870696617176336
49.63145015190539,42.71745149708371
49.543570910381824,54.17445864804003
50.54344618283842,60.09052938518907
51.08492414877179,44.09208627967608
51.357655335238434,54.17250151869129
52.18066367683031,48.92745083122117
52.96584452388465,50.53021760506117
54.20942460889671,51.24745498770237
53.856133127521446,49.536179279122365
54.40013197928098,54.64274011900511
54.73664638885058,50.581895806795394
54.316996301898214,55.66928043079741
55.7656375346372,55.514446987391516
56.31152214014639,55.116781905814335
58.01554065423259,53.4777223440246
57.19025167841345,54.30639502557179
57.93971839478489,61.71667452391367
58.274101401579536,60.77868733970144
58.20963083043646,53.32185460644371
59.86789381931781,60.36455534646394
60.17496149121776,63.931897108076704
60.69702351120996,52.34999710560311
60.349326373105136,63.06612733500481
